"am_gene_ID","am_gene_symbol","dr_gene_ID","dr_gene_symbol"
"ENSAMXG00000000008","slc1a3b","ENSDARG00000043148","slc1a3b"
"ENSAMXG00000000017","EPAS1","ENSDARG00000008697","EPAS1"
"ENSAMXG00000000019","ENSAMXG00000000019","ENSDARG00000015552","ENSDARG00000015552"
"ENSAMXG00000000032","gucy2f","ENSDARG00000025504","gucy2f"
"ENSAMXG00000000033","rhocb","ENSDARG00000018328","rhocb"
"ENSAMXG00000000034","rimkla","ENSDARG00000016830","rimkla"
"ENSAMXG00000000035","mov10b.1","ENSDARG00000061177","mov10b.1"
"ENSAMXG00000000036","ENSAMXG00000000036","ENSDARG00000090721","ENSDARG00000090721"
"ENSAMXG00000000037","pogzb","ENSDARG00000076542","pogzb"
"ENSAMXG00000000039","atp2b2","ENSDARG00000063433","atp2b2"
"ENSAMXG00000000040","fgf13a","ENSDARG00000035056","fgf13a"
"ENSAMXG00000000041","PRKCE","ENSDARG00000003008","PRKCE"
"ENSAMXG00000000047","f9a","ENSDARG00000010097","f9a"
"ENSAMXG00000000053","plekho1b","ENSDARG00000077499","plekho1b"
"ENSAMXG00000000055","vim","ENSDARG00000010008","vim"
"ENSAMXG00000000057","mrap2a","ENSDARG00000074763","mrap2a"
"ENSAMXG00000000061","GDPD5","ENSDARG00000076962","GDPD5"
"ENSAMXG00000000062","cep162","ENSDARG00000087369","cep162"
"ENSAMXG00000000065","si:ch211-198c19.1","ENSDARG00000089333","si:ch211-198c19.1"
"ENSAMXG00000000066","trdmt1","ENSDARG00000034518","trdmt1"
"ENSAMXG00000000067","ATP11C","ENSDARG00000036442","ATP11C"
"ENSAMXG00000000072","ppm1bb","ENSDARG00000011496","ppm1bb"
"ENSAMXG00000000074","CUBN","ENSDARG00000087013","CUBN"
"ENSAMXG00000000075","zgc:153372","ENSDARG00000068967","zgc:153372"
"ENSAMXG00000000077","RSU1","ENSDARG00000102885","RSU1"
"ENSAMXG00000000086","STEAP2","ENSDARG00000062887","STEAP2"
"ENSAMXG00000000087","rap1gap2a","ENSDARG00000061551","rap1gap2a"
"ENSAMXG00000000088","ENSAMXG00000000088","ENSDARG00000039937","CCDC172"
"ENSAMXG00000000090","gfra1b","ENSDARG00000102564","gfra1b"
"ENSAMXG00000000093","xaf1","ENSDARG00000068939","xaf1"
"ENSAMXG00000000099","wnt10a","ENSDARG00000017155","wnt10a"
"ENSAMXG00000000100","inppl1b","ENSDARG00000001442","inppl1b"
"ENSAMXG00000000103","umps","ENSDARG00000012215","umps"
"ENSAMXG00000000104","si:dkey-69o16.5","ENSDARG00000070057","si:dkey-69o16.5"
"ENSAMXG00000000107","ENSAMXG00000000107","ENSDARG00000101368","ENSDARG00000101368"
"ENSAMXG00000000112","dmd","ENSDARG00000008487","dmd"
"ENSAMXG00000000120","f3a","ENSDARG00000099124","f3a"
"ENSAMXG00000000123","ENSAMXG00000000123","ENSDARG00000070239","ENSDARG00000070239"
"ENSAMXG00000000127","knstrn","ENSDARG00000074379","knstrn"
"ENSAMXG00000000131","nkrf","ENSDARG00000100536","nkrf"
"ENSAMXG00000000133","ube2a","ENSDARG00000098466","ube2a"
"ENSAMXG00000000135","DPYD","ENSDARG00000010267","dpydb"
"ENSAMXG00000000139","snx7","ENSDARG00000105185","snx7"
"ENSAMXG00000000142","lnx2b","ENSDARG00000071478","lnx2b"
"ENSAMXG00000000144","chic1","ENSDARG00000053166","chic1"
"ENSAMXG00000000146","PALMD","ENSDARG00000116789","ENSDARG00000116789"
"ENSAMXG00000000149","FRRS1","ENSDARG00000077605","FRRS1"
"ENSAMXG00000000152","entpd3","ENSDARG00000035309","entpd3"
"ENSAMXG00000000155","DIP2A","ENSDARG00000078058","DIP2A"
